Identifiant de la salle;Nom;Nom de l'équipement;Nom complet de l'équipement;Nom usuel de l'équipement;Adresse;Ville;Code postal;Catégorie salle;Web;Email;Téléphone;Type d'évènement;Capacité debout;Capacité assis;Capacité repas;Capacité spectacle;Capacité réunion;Capacité conférence;Sono;Type sono;Vidéo;Scène;Surface scène;Salle annexe;Cuisine;Espace bar;Accès PMR;Parking;Espace extérieur;Informations pratiques;Géolocalisation
482;Salle de diffusion rdc - Maison de quartier des Haubans;M. de quartier Haubans;Maison de quartier des Haubans;;1 Boulevard de Berlin;Nantes;44000;2;;MQ-Haubans@mairie-nantes.fr;02 40 41 59 60;Conférence, Réunion., Spectacle;150;0;0;140;50;140;1;Fixe;1;0;0.0;0;0;1;1;0;;;47.2140817498,-1.5303287668
961;Salle Polyvalente - Centre socioculturel du Bout-des-Landes - ACCOORD;CSC Bout-des-Landes;Centre socioculturel du Bout-des-Landes - ACCOORD;CSC Bout des Landes;12 Rue de Concarneau;Nantes;44300;2;;DVAJ-NordOuest@mairie-nantes.fr;0240416230;Conférence, Réunion., Spectacle, Réunion de famille;95;70;70;70;70;70;0;;0;0;0.0;0;1;0;1;0;Jardin avec terrasse;;47.2659416811,-1.57822054693
361;Salle AB avec Cuisine rdc - Maison de quartier de l'Ile de Nantes;M. de quartier Ile de Nantes;Maison de quartier de l'Ile de Nantes;;2 Rue Conan Mériadec;Nantes;44200;2;;DVAJ-SudEst@mairie-nantes.fr;02 40 41 56 62;Conférence, Réunion., Spectacle, Réunion de famille, Danse;180;100;100;120;100;120;1;Mobile;0;0;0.0;0;1;1;1;0;cour intérieure;Chronobus C5 et Bus 26 arrêt République - Tram L2 et L3 arrêt Vincent Gâche;47.2066812588,-1.55085572472
451;Salle B-Art Rythme Ethique rdc;M. de quartier le Dix;Maison de quartier le Dix;Dix (Le) Maison de Quartier;10 Place des Garennes;Nantes;44100;2;http://www.collectifdix.com;MQ-LeDix@mairie-nantes.fr;02 40 69 34 61;Conférence, Réunion., Spectacle, Réunion de famille, Danse;180;0;0;150;150;150;1;Fixe;0;1;36.0;0;0;1;1;0;cour intérieure;;47.2022186908,-1.57816965109
811;Salle AB avec Cuisine rdc - Salle municipale Santos Dumont;Salle municipale;Salle municipale Santos Dumont;Salle Santos Dumont;11 Rue Santos Dumont;Nantes;44300;2;;MQ-LaMano@mairie-nantes.fr;02 40 41 61 80;Réunion., Réunion de famille;0;60;60;0;60;80;0;;0;0;0.0;0;1;0;1;0;;;47.2600598856,-1.56724303314
631;Salle de Conférence Jules Valès;Salle J. Vallès;Salle municipale Jules Vallès;;15 Rue de l'Héronnière;Nantes;44000;3;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Séminaire-Congrès;0;0;0;0;82;82;1;Fixe;1;0;0.0;0;0;0;1;0;;;47.211515891,-1.56244303857
871;Salle AB avec Cuisine rdc - Maison de quartier La Mano;M. de quartier La Mano;Maison de quartier La Mano;;3 Rue Eugène Thomas;Nantes;44300;2;;MQ-LaMano@mairie-nantes.fr;02 40 41 61 80;Conférence, Réunion., Spectacle, Réunion de famille;100;90;90;100;90;100;1;Mobile;0;0;0.0;0;1;0;1;1;;;47.2616608522,-1.57341069776
61;Salle de Quartier avec Cuisine rdc - Maison de quartier de la Bottière;M. de quartier Bottière;Maison de quartier de la Bottière;;147 Route de Sainte Luce;Nantes;44300;2;;MQ-Bottiere@mairie-nantes.fr;02 40 41 58 20;Conférence, Réunion., Spectacle, Réunion de famille, Danse;130;70;70;100;70;100;1;Mobile;1;0;0.0;0;1;0;1;1;;;47.2361218895,-1.51899220832
721;Salle de diffusion - Maison de quartier des Confluences;M. de quartier Confluences;Maison de quartier des Confluences;;4 Place du Muguet Nantais;Nantes;44200;2;;MQ-Confluences@mairie-nantes.fr;02 40 41 59 65;Conférence, Réunion., Spectacle;130;0;0;135;120;135;1;Fixe;1;0;0.0;0;0;1;1;0;;;47.1942541909,-1.52824828083
481;Salle A avec Cuisine - Maison de quartier de Madeleine Champ de Mars;M. de quartier Madeleine Ch.de Mars;Maison de quartier de Madeleine Champ de Mars;Maison de Quartier Madeleine Champ de Mars;22 Rue Emile Péhant;Nantes;44000;2;;MQ-Madeleine@mairie-nantes.fr;02 40 20 58 48;Conférence, Réunion., Spectacle, Réunion de famille;110;80;80;100;80;100;1;Mobile;0;0;0.0;0;1;0;1;0;;;47.2128432592,-1.54803249989
1081;Salle A - Salle municipale Bonnaire;Salle associative;Salle associative Crapaudine;Salle de la Crapaudine;24 Rue des Gobelets;Nantes;44200;2;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Spectacle, Réunion de famille;125;80;80;80;80;125;0;;0;0;0.0;0;1;0;1;1;Jardin;;47.1912682786,-1.5296588855
571;Salle de Conférence étage 2 - Salles municipales La Manu;Salles La Manu;Salles municipales La Manu;Salle de la Manu;10B Boulevard de Stalingrad;Nantes;44000;3;http://www.nantes.fr;;02 40 41 65 26;Conférence, Réunion., Séminaire-Congrès;0;0;0;0;200;200;1;Fixe;1;0;0.0;1;0;1;1;0;;Bus 12 et Tram L1 : arrêt Manufacture.;47.2194242547,-1.53559413954
691;Salle festive Nantes Nord;Salle festive Nantes Nord;Salle festive Nantes Nord;;73 Avenue du Bout des Landes;Nantes;44300;4;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Spectacle, Séminaire-Congrès, Réunion de famille;900;250;250;900;400;400;1;Fixe;1;1;74.0;0;1;1;1;0;;;47.263648605,-1.5808489432
841;Salle F étage 3 - Maison des Syndicats;Maison des Syndicats;Maison des Syndicats;;Place de la Gare de l'Etat;Nantes;44200;3;;;02 40 20 46 33;Conférence, Réunion., Séminaire-Congrès, Spectacle;0;0;0;0;150;150;1;Fixe;1;0;0.0;1;0;0;1;1;;Chronobus C5 arrêt Gare de l'Etat - Bus 26 arrêt République;47.2041727272,-1.55934845059
211;Salle A rdc - Salle municipale L'Egalité;Salle Egalité;Salle municipale L'Egalité;Salle de l'Egalité;6 Boulevard Léon Jouhaux;Nantes;44100;3;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Spectacle, Séminaire-Congrès, Réunion de famille;240;160;160;190;160;190;1;Fixe;1;1;50.0;1;0;1;1;1;;;47.2099166017,-1.58901221449
241;Salle F - Pôle associatif Félix Thomas;Pôle assoc. Félix Thomas;Pôle associatif Félix Thomas;;39 Rue Félix Thomas;Nantes;44000;1;;;02 40 29 82 28;Réunion., Spectacle, Danse;100;0;0;60;40;60;0;;0;1;37.0;0;0;1;1;1;cour intérieure;;47.2317092919,-1.55310802733
151;Salle AB Hall rdc - Pôle associatif Drac;Pôle assoc. Drac;Pôle associatif Drac;;15D Boulevard Jean Moulin;Nantes;44100;2;;;02 40 41 62 00;Réunion.;0;0;0;0;100;0;1;Mobile;0;0;0.0;0;0;0;1;1;;;47.2033006589,-1.60469188502
601;Salle Polyvalente avec Cuisine - Maison des Habitants et du Citoyen;Maison des Habitants et du Citoyen;Maison des Habitants et du Citoyen;;1 Place des Lauriers;Nantes;44100;2;;MAISON-DES-HABITANTS@mairie-nantes.fr;02 40 41 62 00;Conférence, Réunion., Spectacle, Réunion de famille;160;108;108;120;108;120;1;Mobile;1;0;0.0;0;1;0;1;1;;;47.2042003005,-1.60493603928
661;Salle festive Nantes Erdre;Salle festive Nantes Erdre;Salle festive Nantes Erdre;;251 Route de Saint Joseph;Nantes;44300;4;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Spectacle, Séminaire-Congrès, Réunion de famille;900;250;250;900;400;400;1;Fixe;1;1;60.0;0;1;1;1;1;;;47.2540982707,-1.53131896668
